state_code,county_code,latitude,longitude
1,73,33.527446149702264,-86.84988637634724
4,13,33.45016640205483,-112.094069299629
4,19,32.210307314460614,-110.8989579511781
5,119,34.7561890000045,-92.28129600000096
6,1,37.783330282490795,-122.21934800965174
6,7,39.76062401550927,-121.84116010264867
6,13,37.967332824885425,-122.00688783179798
6,19,36.77412843147055,-119.83724146623517
6,23,40.75072134615124,-124.18876942307408
6,25,32.722900469865934,-115.51315125890369
6,37,34.10947241590876,-118.19320291956151
6,41,37.97230999999883,-122.52000399999429
6,53,36.69426099999777,-121.62327099999298
6,55,38.305374397472264,-122.2925172239907
6,59,33.77776865006921,-117.87643763635457
6,65,33.90985540951562,-117.25695518228086
6,67,38.64462757967669,-121.41652654883565
6,71,34.312587686642814,-117.3666222741327
6,73,32.868638390861264,-117.030048992675
6,75,37.76594599999958,-122.39904400000611
6,81,37.48293399999967,-122.20337000000265
6,83,34.60249532918082,-120.21310022874131
6,85,37.340141341540914,-121.91324660758497
6,95,38.10250700000239,-122.23797600000316
6,97,38.419638275585605,-122.77510365517392
6,99,37.59168539646234,-120.94230313411965
8,1,39.83811899999614,-104.9498400000001
8,31,39.750898269935824,-105.00057530587726
8,41,38.83089500000207,-104.83924300000497
8,69,40.57746999999988,-105.07891999999994
8,123,40.40686708380078,-104.71385145251035
9,3,41.776433308338,-72.65821329982407
9,5,41.8092323821763,-73.2822864075982
9,9,41.30139999999743,-72.90287099999853
11,1,38.90613803657162,-77.00000513209856
12,11,26.10880588431954,-80.19290865627498
12,31,30.30281469566117,-81.66670394021322
12,57,27.962246232805725,-82.30838384517205
12,103,27.876113937485474,-82.67605505859723
13,89,33.68779999999971,-84.29050000000241
13,121,33.82074797727131,-84.38661847727032
15,3,21.3180747958574,-158.00681578907844
16,1,43.60523315351729,-116.2999084746119
17,31,41.97943498731973,-87.77374681900105
18,97,39.78876770802774,-86.12327678703117
18,163,37.9776799999994,-87.59683600000116
19,163,41.53001099999785,-90.58761099999656
21,61,37.1317899999995,-86.14295299999809
21,111,38.21562820410264,-85.68762837115861
22,33,30.46198100000036,-91.17921900000097
23,5,43.660246000000754,-70.26896499999725
23,9,44.37705000000038,-68.26089999999571
24,5,39.31083299999849,-76.4744439999975
25,25,42.333115189873006,-71.07914378670141
25,27,42.26395500000155,-71.79432200000144
26,81,42.984173000002016,-85.67133899999472
26,163,42.30865494611945,-83.20805635697975
27,37,44.756898427246846,-93.09451907046399
27,53,44.97441219953779,-93.26579607123475
29,510,38.64732748102675,-90.23226641410851
31,55,41.25365340055718,-96.00241776242493
32,3,36.16214774137358,-115.11298336422206
32,31,39.52292139078281,-119.7819527957789
34,7,39.89393802361131,-75.0824203436957
34,13,40.720988999997076,-74.19289199999788
34,39,40.65181589602448,-74.21157191543273
35,1,35.09067808003962,-106.61171617751027
36,5,40.86789999999983,-73.8780900000059
36,29,42.8925160343814,-78.79409318526054
36,55,43.145780641362535,-77.55128752975007
36,61,40.819760000000116,-73.948249999994
36,81,40.73679503225562,-73.82072567741929
36,101,42.091419999999665,-77.2097800000018
37,119,35.23537409273672,-80.80119694139145
37,183,35.85738290993216,-78.63418254162072
39,35,41.482484068880254,-81.64720827188559
39,49,40.07968074807178,-83.01085194553158
39,61,39.13150745231054,-84.51689584876218
40,109,35.57021664881693,-97.50819031767357
40,143,36.19898514311216,-95.97721626134583
41,51,45.49765458540202,-122.60677817189838
42,3,40.44821065254751,-79.96544738718383
42,21,40.309722000002736,-78.91500000000097
42,49,42.14174999999961,-80.03861099999756
42,69,41.44277799999769,-75.62305600000431
42,101,40.016261491461115,-75.06889483565695
44,7,41.83681563503329,-71.381635732579
47,9,35.63348000000102,-83.94160600000247
47,37,36.14958427660035,-86.75360633919728
47,157,35.154012694849534,-89.91812984127058
48,113,32.82006100000197,-96.86011700000276
48,141,31.786570562111457,-106.44926886788353
48,201,29.75302943956444,-95.29023377122834
48,309,31.653086000001554,-97.07070400000698
48,439,32.71024503126767,-97.26490982481818
49,49,40.269842212701946,-111.67240423029254
50,7,44.4997128682153,-73.05662878248896
50,21,43.60805599999793,-72.98277800000359
51,13,38.857699999996576,-77.05921999999687
55,27,43.46611099999898,-88.62111099999701
