state_code,county_code
1,73
4,13
4,19
5,119
6,1
6,7
6,13
6,19
6,23
6,25
6,37
6,41
6,53
6,55
6,59
6,65
6,67
6,71
6,73
6,75
6,81
6,83
6,85
6,95
6,97
6,99
8,1
8,31
8,41
8,69
8,123
9,3
9,5
9,9
11,1
12,11
12,31
12,57
12,103
13,89
13,121
15,3
16,1
17,31
18,97
18,163
19,163
21,61
21,111
22,33
23,5
23,9
24,5
25,25
25,27
26,81
26,163
27,37
27,53
29,510
31,55
32,3
32,31
34,7
34,13
34,39
35,1
36,5
36,29
36,55
36,61
36,81
36,101
37,119
37,183
39,35
39,49
39,61
40,109
40,143
41,51
42,3
42,21
42,49
42,69
42,101
44,7
47,9
47,37
47,157
48,113
48,141
48,201
48,309
48,439
49,49
50,7
50,21
51,13
55,27
